index,Date/Time,100m_N Avg [m/s],100m_N Std [m/s],Pressure [mbar],98m WV [°],78m WV [°],48m WV [°],Temp 5m [°C],Hum 5m [%]
0,2018-11-01 00:00:00,8.716,0.899,1009.0,30.9,23.9,9.8,25.4,48.3
1,2018-11-01 00:10:00,8.488,0.76,1009.0,29.5,21.1,8.4,24.4,51.0
2,2018-11-01 00:20:00,8.746,0.813,1008.8,29.5,22.5,11.3,24.1,51.9
3,2018-11-01 00:30:00,9.266,1.113,1008.8,30.9,23.9,11.3,24.2,51.8
4,2018-11-01 00:40:00,9.873,0.967,1008.7,30.9,23.9,12.7,24.7,50.5
5,2018-11-01 00:50:00,9.2,0.851,1008.7,30.9,25.3,15.5,24.9,50.0
6,2018-11-01 01:00:00,9.998,0.851,1008.6,32.3,23.9,19.7,25.2,49.0
7,2018-11-01 01:10:00,10.43,0.597,1008.6,33.8,25.3,19.7,25.5,47.9
8,2018-11-01 01:20:00,10.779,0.76,1008.4,33.8,25.3,16.9,25.5,47.6
9,2018-11-01 01:30:00,10.219,0.988,1008.3,32.3,23.9,15.5,25.4,47.9
10,2018-11-01 01:40:00,9.752,0.887,1008.3,32.3,25.3,15.5,25.3,47.9
11,2018-11-01 01:50:00,9.679,0.807,1008.2,33.8,23.9,16.9,25.7,46.4
12,2018-11-01 02:00:00,9.431,0.64,1008.0,35.2,25.3,16.9,25.8,45.9
13,2018-11-01 02:10:00,8.741,0.702,1008.0,33.8,25.3,15.5,25.4,46.8
14,2018-11-01 02:20:00,8.532,0.71,1007.9,35.2,25.3,14.1,25.3,47.1
15,2018-11-01 02:30:00,8.112,0.623,1007.8,33.8,25.3,11.3,24.9,48.0
16,2018-11-01 02:40:00,8.198,0.623,1007.8,38.0,26.7,14.1,24.6,48.8
17,2018-11-01 02:50:00,8.066,0.552,1007.7,39.4,28.1,15.5,24.4,49.1
18,2018-11-01 03:00:00,7.825,0.491,1007.7,39.4,28.1,15.5,24.3,49.7
19,2018-11-01 03:10:00,7.741,0.491,1007.6,38.0,28.1,18.3,24.1,50.3
20,2018-11-01 03:20:00,7.331,0.522,1007.6,39.4,32.3,19.7,23.7,51.0
21,2018-11-01 03:30:00,8.142,0.623,1007.6,46.4,38.0,25.3,23.7,51.1
22,2018-11-01 03:40:00,8.891,0.271,1007.6,45.0,39.4,28.1,24.0,50.2
23,2018-11-01 03:50:00,9.249,0.177,1007.6,42.2,35.2,26.7,24.0,50.3
24,2018-11-01 04:00:00,9.603,0.271,1007.5,43.6,35.2,26.7,23.8,50.7
25,2018-11-01 04:10:00,10.187,0.205,1007.5,47.8,38.0,28.1,23.8,50.0
26,2018-11-01 04:20:00,10.339,0.177,1007.5,49.2,40.8,29.5,24.2,48.1
27,2018-11-01 04:30:00,10.867,0.29,1007.5,50.6,43.6,30.9,24.2,47.7
28,2018-11-01 04:40:00,10.504,0.29,1007.6,50.6,45.0,33.8,24.1,48.0
29,2018-11-01 04:50:00,10.244,0.205,1007.6,52.0,45.0,32.3,24.0,48.0
30,2018-11-01 05:00:00,10.406,0.145,1007.7,53.4,43.6,28.1,24.2,47.0
31,2018-11-01 05:10:00,10.406,0.145,1007.7,52.0,42.2,25.3,24.6,45.5
32,2018-11-01 05:20:00,10.298,0.145,1007.7,50.6,40.8,25.3,24.6,45.0
33,2018-11-01 05:30:00,10.013,0.205,1007.9,47.8,38.0,22.5,24.6,44.9
34,2018-11-01 05:40:00,10.079,0.177,1008.0,49.2,38.0,22.5,24.4,45.4
35,2018-11-01 05:50:00,10.145,0.205,1008.2,52.0,40.8,26.7,24.2,46.3
36,2018-11-01 06:00:00,10.015,0.177,1008.2,50.6,42.2,28.1,23.8,47.4
37,2018-11-01 06:10:00,10.035,0.177,1008.3,52.0,43.6,30.9,23.6,48.1
38,2018-11-01 06:20:00,10.131,0.145,1008.4,52.0,43.6,30.9,23.6,47.9
39,2018-11-01 06:30:00,10.295,0.177,1008.4,52.0,42.2,28.1,23.8,47.4
40,2018-11-01 06:40:00,10.072,0.177,1008.5,53.4,43.6,28.1,23.7,47.7
41,2018-11-01 06:50:00,9.696,0.205,1008.7,52.0,40.8,26.7,23.7,48.2
42,2018-11-01 07:00:00,9.18,0.205,1008.9,52.0,39.4,23.9,23.7,48.7
43,2018-11-01 07:10:00,8.905,0.205,1009.1,52.0,40.8,23.9,23.7,49.3
44,2018-11-01 07:20:00,8.93,0.177,1009.2,52.0,42.2,25.3,24.0,49.3
