index,Date/Time,100m_N Avg [m/s]
0,2018-11-01 00:00:00,8.716
1,2018-11-01 00:10:00,8.488
2,2018-11-01 00:20:00,8.746
3,2018-11-01 00:30:00,9.266
4,2018-11-01 00:40:00,9.873
5,2018-11-01 00:50:00,9.2
6,2018-11-01 01:00:00,9.998
7,2018-11-01 01:10:00,10.43
8,2018-11-01 01:20:00,10.779
9,2018-11-01 01:30:00,10.219
10,2018-11-01 01:40:00,9.752
11,2018-11-01 01:50:00,9.679
12,2018-11-01 02:00:00,9.431
13,2018-11-01 02:10:00,8.741
14,2018-11-01 02:20:00,8.532
15,2018-11-01 02:30:00,8.112
16,2018-11-01 02:40:00,8.198
17,2018-11-01 02:50:00,8.066
18,2018-11-01 03:00:00,7.825
19,2018-11-01 03:10:00,7.741
20,2018-11-01 03:20:00,7.331
21,2018-11-01 03:30:00,8.142
22,2018-11-01 03:40:00,8.891
23,2018-11-01 03:50:00,9.249
24,2018-11-01 04:00:00,9.603
25,2018-11-01 04:10:00,10.187
26,2018-11-01 04:20:00,10.339
27,2018-11-01 04:30:00,10.867
28,2018-11-01 04:40:00,10.504
29,2018-11-01 04:50:00,10.244
30,2018-11-01 05:00:00,10.406
31,2018-11-01 05:10:00,10.406
32,2018-11-01 05:20:00,10.298
33,2018-11-01 05:30:00,10.013
34,2018-11-01 05:40:00,10.079
35,2018-11-01 05:50:00,10.145
36,2018-11-01 06:00:00,10.015
37,2018-11-01 06:10:00,10.035
38,2018-11-01 06:20:00,10.131
39,2018-11-01 06:30:00,10.295
40,2018-11-01 06:40:00,10.072
41,2018-11-01 06:50:00,9.696
42,2018-11-01 07:00:00,9.18
43,2018-11-01 07:10:00,8.905
44,2018-11-01 07:20:00,8.93
45,2018-11-01 07:30:00,8.92
46,2018-11-01 07:40:00,8.77
47,2018-11-01 07:50:00,8.684
48,2018-11-01 08:00:00,8.837
49,2018-11-01 08:10:00,8.746
50,2018-11-01 08:20:00,7.685
51,2018-11-01 08:30:00,7.223
52,2018-11-01 08:40:00,6.197
53,2018-11-01 08:50:00,5.809
54,2018-11-01 09:00:00,5.18
55,2018-11-01 09:10:00,4.91
56,2018-11-01 09:20:00,5.129
57,2018-11-01 09:30:00,6.104
