Date/Time,100m_N Avg [m/s],100m_N Std [m/s],100m_S Avg [m/s],100m_S Std [m/s],80m Avg [m/s],80m Std [m/s],50m Avg [m/s],50m Std [m/s],20m Avg [m/s],20m Std [m/s],Pressure [mbar],98m WV [°],78m WV [°],48m WV [°],Temp 5m [°C],Hum 5m [%]
11/1/2018 0:00,8.716,0.899,8.899,0.898,7.969,0.94,6.062,0.725,3.175,0.761,1009,30.9,23.9,9.8,25.4,48.3
11/1/2018 0:10,8.488,0.76,8.651,0.759,7.76,0.795,6.222,0.687,3.217,0.761,1009,29.5,21.1,8.4,24.4,51
11/1/2018 0:20,8.746,0.813,8.904,0.818,7.996,0.85,5.942,0.68,3.227,0.808,1008.8,29.5,22.5,11.3,24.1,51.9
11/1/2018 0:30,9.266,1.113,9.421,1.135,8.472,1.164,6.153,0.945,3.355,0.912,1008.8,30.9,23.9,11.3,24.2,51.8
11/1/2018 0:40,9.873,0.967,10.004,1.002,9.027,1.011,6.36,0.922,3.736,0.768,1008.7,30.9,23.9,12.7,24.7,50.5
11/1/2018 0:50,9.2,0.851,9.391,0.88,8.411,0.89,6.058,0.911,3.566,0.681,1008.7,30.9,25.3,15.5,24.9,50
11/1/2018 1:00,9.998,0.851,10.169,0.909,9.116,0.901,6.229,1.08,3.962,0.754,1008.6,32.3,23.9,19.7,25.2,49
11/1/2018 1:10,10.43,0.597,10.644,0.614,9.51,0.632,6.134,1.141,3.384,0.624,1008.6,33.8,25.3,19.7,25.5,47.9
11/1/2018 1:20,10.779,0.76,10.99,0.772,9.828,0.805,6.215,1.155,3.869,0.733,1008.4,33.8,25.3,16.9,25.5,47.6
11/1/2018 1:30,10.219,0.988,10.372,1.023,9.317,1.046,6.08,1.104,4.021,0.808,1008.3,32.3,23.9,15.5,25.4,47.9
11/1/2018 1:40,9.752,0.887,9.953,0.915,8.891,0.939,6.436,0.869,3.979,0.726,1008.3,32.3,25.3,15.5,25.3,47.9
11/1/2018 1:50,9.679,0.807,9.82,0.856,8.825,0.855,5.981,0.916,3.844,0.711,1008.2,33.8,23.9,16.9,25.7,46.4
11/1/2018 2:00,9.431,0.64,9.588,0.655,8.528,0.684,6.163,0.82,3.596,0.681,1008,35.2,25.3,16.9,25.8,45.9
11/1/2018 2:10,8.741,0.702,8.899,0.701,7.904,0.75,5.812,0.753,3.527,0.696,1008,33.8,25.3,15.5,25.4,46.8
11/1/2018 2:20,8.532,0.71,8.7,0.723,7.715,0.759,5.856,0.68,3.596,0.84,1007.9,35.2,25.3,14.1,25.3,47.1
11/1/2018 2:30,8.112,0.623,8.278,0.647,7.335,0.666,5.625,0.717,3.392,0.834,1007.8,33.8,25.3,11.3,24.9,48
11/1/2018 2:40,8.198,0.623,8.345,0.631,7.413,0.666,5.773,0.502,3.645,0.768,1007.8,38,26.7,14.1,24.6,48.8
11/1/2018 2:50,8.066,0.552,8.205,0.57,7.294,0.59,5.608,0.481,3.652,0.624,1007.7,39.4,28.1,15.5,24.4,49.1
11/1/2018 3:00,7.825,0.491,7.965,0.501,7.01,0.518,5.245,0.491,3.293,0.481,1007.7,39.4,28.1,15.5,24.3,49.7
11/1/2018 3:10,7.741,0.491,7.881,0.501,6.935,0.518,5.208,0.58,3.013,0.533,1007.6,38,28.1,18.3,24.1,50.3
11/1/2018 3:20,7.331,0.522,7.455,0.56,6.567,0.55,4.663,0.481,2.836,0.423,1007.6,39.4,32.3,19.7,23.7,51
11/1/2018 3:30,8.142,0.623,8.295,0.622,7.294,0.657,5.385,0.615,3.151,0.47,1007.6,46.4,38,25.3,23.7,51.1
