index,Date/Time,100m_N Avg [m/s]
0,2017-11-01 00:00:00,3.285
1,2017-11-01 00:10:00,3.017
2,2017-11-01 00:20:00,3.066
3,2017-11-01 00:30:00,3.351
4,2017-11-01 00:40:00,3.039
5,2017-11-01 00:50:00,2.796
6,2017-11-01 01:00:00,2.499
7,2017-11-01 01:10:00,3.069
8,2017-11-01 01:20:00,3.201
9,2017-11-01 01:30:00,3.403
10,2017-11-01 01:40:00,3.697
11,2017-11-01 01:50:00,4.402
12,2017-11-01 02:00:00,4.606
13,2017-11-01 02:10:00,4.031
14,2017-11-01 02:20:00,3.638
15,2017-11-01 02:30:00,3.651
16,2017-11-01 02:40:00,3.638
17,2017-11-01 02:50:00,4.203
18,2017-11-01 03:00:00,4.166
19,2017-11-01 03:10:00,4.903
20,2017-11-01 03:20:00,4.866
21,2017-11-01 03:30:00,4.859
22,2017-11-01 03:40:00,4.544
23,2017-11-01 03:50:00,4.363
24,2017-11-01 04:00:00,5.202
25,2017-11-01 04:10:00,5.114
26,2017-11-01 04:20:00,5.163
27,2017-11-01 04:30:00,5.684
28,2017-11-01 04:40:00,5.74
29,2017-11-01 04:50:00,6.278
30,2017-11-01 05:00:00,6.234
31,2017-11-01 05:10:00,6.037
32,2017-11-01 05:20:00,6.44
33,2017-11-01 05:30:00,6.519
34,2017-11-01 05:40:00,6.246
35,2017-11-01 05:50:00,6.875
36,2017-11-01 06:00:00,6.693
37,2017-11-01 06:10:00,6.904
38,2017-11-01 06:20:00,6.575
39,2017-11-01 06:30:00,6.641
40,2017-11-01 06:40:00,6.251
41,2017-11-01 06:50:00,5.924
42,2017-11-01 07:00:00,5.463
43,2017-11-01 07:10:00,5.097
44,2017-11-01 07:20:00,5.274
45,2017-11-01 07:30:00,5.708
46,2017-11-01 07:40:00,5.78
47,2017-11-01 07:50:00,6.072
48,2017-11-01 08:00:00,6.619
49,2017-11-01 08:10:00,7.103
50,2017-11-01 08:20:00,7.137
51,2017-11-01 08:30:00,7.061
52,2017-11-01 08:40:00,7.299
53,2017-11-01 08:50:00,7.442
54,2017-11-01 09:00:00,7.52
55,2017-11-01 09:10:00,7.692
56,2017-11-01 09:20:00,7.508
57,2017-11-01 09:30:00,7.15
58,2017-11-01 09:40:00,6.236
59,2017-11-01 09:50:00,6.177
60,2017-11-01 10:00:00,5.284
61,2017-11-01 10:10:00,4.832
62,2017-11-01 10:20:00,4.923
63,2017-11-01 10:30:00,4.778
64,2017-11-01 10:40:00,5.443
65,2017-11-01 10:50:00,5.48
66,2017-11-01 11:00:00,5.608
67,2017-11-01 11:10:00,5.443
68,2017-11-01 11:20:00,5.811
69,2017-11-01 11:30:00,5.696
70,2017-11-01 11:40:00,5.811
71,2017-11-01 11:50:00,5.308
72,2017-11-01 12:00:00,4.272
73,2017-11-01 12:10:00,4.179
74,2017-11-01 12:20:00,4.284
75,2017-11-01 12:30:00,4.373
76,2017-11-01 12:40:00,4.554
77,2017-11-01 12:50:00,4.584
78,2017-11-01 13:00:00,4.706
79,2017-11-01 13:10:00,4.842
80,2017-11-01 13:20:00,4.783
81,2017-11-01 13:30:00,4.91
82,2017-11-01 13:40:00,4.866
83,2017-11-01 13:50:00,4.834
84,2017-11-01 14:00:00,5.249
85,2017-11-01 14:10:00,5.291
86,2017-11-01 14:20:00,5.033
87,2017-11-01 14:30:00,5.384
88,2017-11-01 14:40:00,5.563
89,2017-11-01 14:50:00,5.566
90,2017-11-01 15:00:00,5.514
91,2017-11-01 15:10:00,4.991
92,2017-11-01 15:20:00,4.856
93,2017-11-01 15:30:00,4.738
94,2017-11-01 15:40:00,4.267
95,2017-11-01 15:50:00,3.739
96,2017-11-01 16:00:00,4.043
97,2017-11-01 16:10:00,4.343
98,2017-11-01 16:20:00,4.338
99,2017-11-01 16:30:00,4.832
100,2017-11-01 16:40:00,4.822
101,2017-11-01 16:50:00,4.714
102,2017-11-01 17:00:00,4.65
103,2017-11-01 17:10:00,4.544
104,2017-11-01 17:20:00,4.319
105,2017-11-01 17:30:00,4.375
106,2017-11-01 17:40:00,4.741
107,2017-11-01 17:50:00,4.564
108,2017-11-01 18:00:00,4.427
109,2017-11-01 18:10:00,4.159
110,2017-11-01 18:20:00,3.845
111,2017-11-01 18:30:00,3.516
112,2017-11-01 18:40:00,3.317
113,2017-11-01 18:50:00,3.199
114,2017-11-01 19:00:00,3.11
115,2017-11-01 19:10:00,3.164
116,2017-11-01 19:20:00,3.317
117,2017-11-01 19:30:00,3.346
118,2017-11-01 19:40:00,3.683
119,2017-11-01 19:50:00,3.754
120,2017-11-01 20:00:00,3.734
121,2017-11-01 20:10:00,3.523
122,2017-11-01 20:20:00,3.4
123,2017-11-01 20:30:00,3.415
124,2017-11-01 20:40:00,3.741
125,2017-11-01 20:50:00,3.943
126,2017-11-01 21:00:00,3.994
127,2017-11-01 21:10:00,3.857
128,2017-11-01 21:20:00,3.869
129,2017-11-01 21:30:00,3.926
130,2017-11-01 21:40:00,4.154
131,2017-11-01 21:50:00,3.243
132,2017-11-01 22:00:00,3.565
133,2017-11-01 22:10:00,4.616
134,2017-11-01 22:20:00,5.409
135,2017-11-01 22:30:00,6.317
136,2017-11-01 22:40:00,7.498
137,2017-11-01 22:50:00,6.892
138,2017-11-01 23:00:00,6.511
139,2017-11-01 23:10:00,6.209
140,2017-11-01 23:20:00,7.285
141,2017-11-01 23:30:00,6.069
142,2017-11-01 23:40:00,6.31
143,2017-11-01 23:50:00,6.791
144,2017-11-02 00:00:00,7.051
145,2017-11-02 00:10:00,6.29
146,2017-11-02 00:20:00,6.607
147,2017-11-02 00:30:00,6.995
148,2017-11-02 00:40:00,7.312
149,2017-11-02 00:50:00,7.341
150,2017-11-02 01:00:00,7.565
151,2017-11-02 01:10:00,7.594
152,2017-11-02 01:20:00,7.958
153,2017-11-02 01:30:00,8.115
154,2017-11-02 01:40:00,7.989
155,2017-11-02 01:50:00,8.171
156,2017-11-02 02:00:00,8.544
157,2017-11-02 02:10:00,8.495
158,2017-11-02 02:20:00,7.992
159,2017-11-02 02:30:00,8.63
160,2017-11-02 02:40:00,8.638
161,2017-11-02 02:50:00,7.972
162,2017-11-02 03:00:00,8.237
163,2017-11-02 03:10:00,8.365
164,2017-11-02 03:20:00,8.267
165,2017-11-02 03:30:00,8.132
166,2017-11-02 03:40:00,8.26
167,2017-11-02 03:50:00,7.975
168,2017-11-02 04:00:00,7.786
169,2017-11-02 04:10:00,7.891
170,2017-11-02 04:20:00,7.768
171,2017-11-02 04:30:00,7.641
172,2017-11-02 04:40:00,7.822
173,2017-11-02 04:50:00,7.935
174,2017-11-02 05:00:00,8.454
175,2017-11-02 05:10:00,8.235
176,2017-11-02 05:20:00,8.613
177,2017-11-02 05:30:00,8.638
178,2017-11-02 05:40:00,8.736
179,2017-11-02 05:50:00,8.51
180,2017-11-02 06:00:00,8.505
181,2017-11-02 06:10:00,8.021
182,2017-11-02 06:20:00,8.522
183,2017-11-02 06:30:00,8.446
184,2017-11-02 06:40:00,7.815
185,2017-11-02 06:50:00,7.815
186,2017-11-02 07:00:00,8.102
187,2017-11-02 07:10:00,8.225
188,2017-11-02 07:20:00,8.053
189,2017-11-02 07:30:00,8.029
190,2017-11-02 07:40:00,8.294
191,2017-11-02 07:50:00,8.154
192,2017-11-02 08:00:00,8.169
193,2017-11-02 08:10:00,8.527
194,2017-11-02 08:20:00,8.566
195,2017-11-02 08:30:00,8.62
196,2017-11-02 08:40:00,8.819
197,2017-11-02 08:50:00,8.881
198,2017-11-02 09:00:00,8.9
199,2017-11-02 09:10:00,8.593
200,2017-11-02 09:20:00,7.388
201,2017-11-02 09:30:00,6.445
202,2017-11-02 09:40:00,5.939
203,2017-11-02 09:50:00,5.593
204,2017-11-02 10:00:00,5.76
205,2017-11-02 10:10:00,5.136
206,2017-11-02 10:20:00,5.279
207,2017-11-02 10:30:00,5.473
208,2017-11-02 10:40:00,5.269
209,2017-11-02 10:50:00,4.743
210,2017-11-02 11:00:00,5.234
211,2017-11-02 11:10:00,5.642
212,2017-11-02 11:20:00,5.91
213,2017-11-02 11:30:00,6.131
214,2017-11-02 11:40:00,6.288
215,2017-11-02 11:50:00,6.366
216,2017-11-02 12:00:00,5.988
217,2017-11-02 12:10:00,5.637
218,2017-11-02 12:20:00,6.052
219,2017-11-02 12:30:00,5.865
220,2017-11-02 12:40:00,5.851
221,2017-11-02 12:50:00,5.63
222,2017-11-02 13:00:00,5.912
223,2017-11-02 13:10:00,6.44
224,2017-11-02 13:20:00,6.273
225,2017-11-02 13:30:00,6.509
226,2017-11-02 13:40:00,6.506
227,2017-11-02 13:50:00,6.14
228,2017-11-02 14:00:00,5.637
229,2017-11-02 14:10:00,6.391
230,2017-11-02 14:20:00,5.868
231,2017-11-02 14:30:00,5.802
232,2017-11-02 14:40:00,5.981
233,2017-11-02 14:50:00,5.895
234,2017-11-02 15:00:00,5.674
235,2017-11-02 15:10:00,5.581
236,2017-11-02 15:20:00,5.271
237,2017-11-02 15:30:00,4.859
238,2017-11-02 15:40:00,4.255
239,2017-11-02 15:50:00,4.36
240,2017-11-02 16:00:00,4.719
241,2017-11-02 16:10:00,4.689
242,2017-11-02 16:20:00,5.031
243,2017-11-02 16:30:00,4.733
244,2017-11-02 16:40:00,5.119
245,2017-11-02 16:50:00,5.495
246,2017-11-02 17:00:00,5.411
247,2017-11-02 17:10:00,5.502
248,2017-11-02 17:20:00,6.04
249,2017-11-02 17:30:00,6.15
250,2017-11-02 17:40:00,5.811
251,2017-11-02 17:50:00,5.686
252,2017-11-02 18:00:00,5.649
253,2017-11-02 18:10:00,6.253
254,2017-11-02 18:20:00,6.214
255,2017-11-02 18:30:00,6.17
256,2017-11-02 18:40:00,5.885
257,2017-11-02 18:50:00,5.615
258,2017-11-02 19:00:00,5.129
259,2017-11-02 19:10:00,4.471
260,2017-11-02 19:20:00,4.323
261,2017-11-02 19:30:00,4.186
262,2017-11-02 19:40:00,4.729
263,2017-11-02 19:50:00,4.338
264,2017-11-02 20:00:00,4.925
265,2017-11-02 20:10:00,5.819
266,2017-11-02 20:20:00,5.696
267,2017-11-02 20:30:00,5.632
268,2017-11-02 20:40:00,5.775
269,2017-11-02 20:50:00,5.811
270,2017-11-02 21:00:00,5.824
271,2017-11-02 21:10:00,5.873
272,2017-11-02 21:20:00,6.042
273,2017-11-02 21:30:00,5.794
274,2017-11-02 21:40:00,5.527
275,2017-11-02 21:50:00,5.571
276,2017-11-02 22:00:00,5.549
277,2017-11-02 22:10:00,5.524
278,2017-11-02 22:20:00,5.797
279,2017-11-02 22:30:00,5.973
280,2017-11-02 22:40:00,5.868
281,2017-11-02 22:50:00,6.094
282,2017-11-02 23:00:00,6.271
283,2017-11-02 23:10:00,6.317
284,2017-11-02 23:20:00,6.499
285,2017-11-02 23:30:00,6.344
286,2017-11-02 23:40:00,6.924
287,2017-11-02 23:50:00,7.103
288,2017-11-03 00:00:00,7.218
289,2017-11-03 00:10:00,7.253
290,2017-11-03 00:20:00,7.299
291,2017-11-03 00:30:00,7.329
292,2017-11-03 00:40:00,7.383
293,2017-11-03 00:50:00,7.425
294,2017-11-03 01:00:00,7.852
295,2017-11-03 01:10:00,8.016
296,2017-11-03 01:20:00,8.321
297,2017-11-03 01:30:00,8.183
298,2017-11-03 01:40:00,8.132
299,2017-11-03 01:50:00,7.889
300,2017-11-03 02:00:00,7.842
301,2017-11-03 02:10:00,7.631
302,2017-11-03 02:20:00,7.638
303,2017-11-03 02:30:00,7.896
304,2017-11-03 02:40:00,7.889
305,2017-11-03 02:50:00,7.619
306,2017-11-03 03:00:00,7.96
307,2017-11-03 03:10:00,8.039
308,2017-11-03 03:20:00,7.685
309,2017-11-03 03:30:00,7.714
310,2017-11-03 03:40:00,7.783
311,2017-11-03 03:50:00,7.503
312,2017-11-03 04:00:00,7.579
313,2017-11-03 04:10:00,7.155
314,2017-11-03 04:20:00,7.034
315,2017-11-03 04:30:00,6.843
316,2017-11-03 04:40:00,7.245
317,2017-11-03 04:50:00,7.169
318,2017-11-03 05:00:00,6.983
319,2017-11-03 05:10:00,7.049
320,2017-11-03 05:20:00,7.285
321,2017-11-03 05:30:00,6.182
322,2017-11-03 05:40:00,7.297
323,2017-11-03 05:50:00,7.643
324,2017-11-03 06:00:00,6.713
325,2017-11-03 06:10:00,7.55
326,2017-11-03 06:20:00,7.754
327,2017-11-03 06:30:00,7.297
328,2017-11-03 06:40:00,7.658
329,2017-11-03 06:50:00,7.349
330,2017-11-03 07:00:00,7.53
331,2017-11-03 07:10:00,7.189
332,2017-11-03 07:20:00,7.071
333,2017-11-03 07:30:00,7.756
334,2017-11-03 07:40:00,7.805
335,2017-11-03 07:50:00,7.842
336,2017-11-03 08:00:00,8.726
337,2017-11-03 08:10:00,8.942
338,2017-11-03 08:20:00,8.665
339,2017-11-03 08:30:00,8.498
340,2017-11-03 08:40:00,8.512
341,2017-11-03 08:50:00,8.446
342,2017-11-03 09:00:00,8.149
343,2017-11-03 09:10:00,7.737
344,2017-11-03 09:20:00,7.26
345,2017-11-03 09:30:00,6.786
346,2017-11-03 09:40:00,6.057
347,2017-11-03 09:50:00,5.794
348,2017-11-03 10:00:00,5.409
349,2017-11-03 10:10:00,4.954
350,2017-11-03 10:20:00,5.063
351,2017-11-03 10:30:00,4.176
352,2017-11-03 10:40:00,4.495
353,2017-11-03 10:50:00,5.158
354,2017-11-03 11:00:00,4.505
355,2017-11-03 11:10:00,5.119
356,2017-11-03 11:20:00,6.064
357,2017-11-03 11:30:00,5.662
358,2017-11-03 11:40:00,5.49
359,2017-11-03 11:50:00,6.244
360,2017-11-03 12:00:00,6.04
361,2017-11-03 12:10:00,5.485
362,2017-11-03 12:20:00,4.65
363,2017-11-03 12:30:00,4.91
364,2017-11-03 12:40:00,4.387
365,2017-11-03 12:50:00,4.323
366,2017-11-03 13:00:00,4.449
367,2017-11-03 13:10:00,4.328
368,2017-11-03 13:20:00,4.08
369,2017-11-03 13:30:00,3.945
370,2017-11-03 13:40:00,3.619
371,2017-11-03 13:50:00,3.852
372,2017-11-03 14:00:00,3.997
373,2017-11-03 14:10:00,3.776
374,2017-11-03 14:20:00,3.933
375,2017-11-03 14:30:00,4.282
376,2017-11-03 14:40:00,4.532
377,2017-11-03 14:50:00,4.616
378,2017-11-03 15:00:00,4.51
379,2017-11-03 15:10:00,4.23
380,2017-11-03 15:20:00,4.417
381,2017-11-03 15:30:00,4.645
382,2017-11-03 15:40:00,4.215
383,2017-11-03 15:50:00,4.078
384,2017-11-03 16:00:00,4.213
385,2017-11-03 16:10:00,5.281
386,2017-11-03 16:20:00,4.999
387,2017-11-03 16:30:00,5.301
388,2017-11-03 16:40:00,5.635
389,2017-11-03 16:50:00,5.792
390,2017-11-03 17:00:00,5.008
391,2017-11-03 17:10:00,4.92
392,2017-11-03 17:20:00,5.544
393,2017-11-03 17:30:00,5.48
394,2017-11-03 17:40:00,5.649
395,2017-11-03 17:50:00,5.809
396,2017-11-03 18:00:00,5.846
397,2017-11-03 18:10:00,5.799
398,2017-11-03 18:20:00,5.387
399,2017-11-03 18:30:00,6.941
400,2017-11-03 18:40:00,6.727
401,2017-11-03 18:50:00,6.622
402,2017-11-03 19:00:00,6.555
403,2017-11-03 19:10:00,6.826
404,2017-11-03 19:20:00,5.9
405,2017-11-03 19:30:00,5.06
406,2017-11-03 19:40:00,5.303
407,2017-11-03 19:50:00,6.745
408,2017-11-03 20:00:00,6.681
409,2017-11-03 20:10:00,6.781
410,2017-11-03 20:20:00,6.546
411,2017-11-03 20:30:00,6.354
412,2017-11-03 20:40:00,6.634
413,2017-11-03 20:50:00,7.228
414,2017-11-03 21:00:00,7.39
415,2017-11-03 21:10:00,8.097
416,2017-11-03 21:20:00,7.989
417,2017-11-03 21:30:00,7.906
418,2017-11-03 21:40:00,8.176
419,2017-11-03 21:50:00,8.247
420,2017-11-03 22:00:00,8.451
421,2017-11-03 22:10:00,8.282
422,2017-11-03 22:20:00,8.647
423,2017-11-03 22:30:00,8.368
424,2017-11-03 22:40:00,8.817
425,2017-11-03 22:50:00,8.512
426,2017-11-03 23:00:00,8.773
427,2017-11-03 23:10:00,8.132
428,2017-11-03 23:20:00,8.228
429,2017-11-03 23:30:00,8.021
430,2017-11-03 23:40:00,8.171
